time_utc,sensor_index,name,dist_mi,bearing,pm25_a,pm25_b,pm25_avg
2025-10-07 18:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.4,0.8,0.6
2025-10-07 07:00:00,146228,Progressive Community Church (NLCEP),19.1,135,13.2,6.5,9.85
2025-10-07 21:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.3,2.6,1.95
2025-10-07 05:00:00,146228,Progressive Community Church (NLCEP),19.1,135,14.6,6.7,10.65
2025-10-07 14:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.3,1.4,0.85
2025-10-07 17:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.2,0.4,0.3
2025-10-07 16:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.8,1.8,1.3
2025-10-02 09:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.0,0.9,1.45
2025-10-02 08:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.5,1.2,1.85
2025-10-02 22:00:00,146228,Progressive Community Church (NLCEP),19.1,135,7.6,6.5,7.05
2025-10-02 01:00:00,146228,Progressive Community Church (NLCEP),19.1,135,7.8,3.8,5.8
2025-10-02 06:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.4,0.7,1.05
2025-10-01 10:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.8,3.2,5.0
2025-10-01 02:00:00,146228,Progressive Community Church (NLCEP),19.1,135,15.3,7.8,11.55
2025-10-01 19:00:00,146228,Progressive Community Church (NLCEP),19.1,135,7.2,3.8,5.5
2025-10-01 15:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.7,2.5,4.1
2025-10-01 05:00:00,146228,Progressive Community Church (NLCEP),19.1,135,13.2,6.1,9.65
2025-10-03 10:00:00,146228,Progressive Community Church (NLCEP),19.1,135,12.7,7.5,10.1
2025-10-03 13:00:00,146228,Progressive Community Church (NLCEP),19.1,135,13.3,6.7,10.0
2025-10-03 03:00:00,146228,Progressive Community Church (NLCEP),19.1,135,11.2,5.4,8.3
2025-10-03 12:00:00,146228,Progressive Community Church (NLCEP),19.1,135,14.6,7.8,11.2
2025-10-03 05:00:00,146228,Progressive Community Church (NLCEP),19.1,135,9.1,4.6,6.85
2025-10-03 17:00:00,146228,Progressive Community Church (NLCEP),19.1,135,9.8,4.2,7.0
2025-10-03 14:00:00,146228,Progressive Community Church (NLCEP),19.1,135,11.9,5.9,8.9
2025-10-03 01:00:00,146228,Progressive Community Church (NLCEP),19.1,135,19.6,10.9,15.25
2025-10-03 23:00:00,146228,Progressive Community Church (NLCEP),19.1,135,14.5,8.3,11.4
2025-10-03 16:00:00,146228,Progressive Community Church (NLCEP),19.1,135,10.4,4.7,7.55
2025-10-03 15:00:00,146228,Progressive Community Church (NLCEP),19.1,135,11.6,5.6,8.6
2025-10-06 00:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.4,2.4,3.9
2025-10-06 09:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.0,2.1,4.05
2025-10-06 16:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.0,0.9,1.95
2025-10-06 10:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.4,2.6,4.5
2025-10-06 08:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.3,1.9,3.6
2025-10-05 14:00:00,146228,Progressive Community Church (NLCEP),19.1,135,12.0,5.0,8.5
2025-10-05 01:00:00,146228,Progressive Community Church (NLCEP),19.1,135,14.9,6.6,10.75
2025-10-05 09:00:00,146228,Progressive Community Church (NLCEP),19.1,135,16.8,7.2,12.0
2025-10-05 19:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.6,2.4,4.0
2025-10-05 06:00:00,146228,Progressive Community Church (NLCEP),19.1,135,15.4,6.6,11.0
2025-10-05 13:00:00,146228,Progressive Community Church (NLCEP),19.1,135,15.4,6.7,11.05
2025-10-05 11:00:00,146228,Progressive Community Church (NLCEP),19.1,135,17.8,8.0,12.9
2025-10-05 15:00:00,146228,Progressive Community Church (NLCEP),19.1,135,9.3,3.5,6.4
2025-10-08 20:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.1,0.1,0.1
2025-10-08 07:00:00,146228,Progressive Community Church (NLCEP),19.1,135,9.0,4.4,6.7
2025-10-08 00:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.4,4.6,3.5
2025-10-08 16:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.4,0.2,0.3
2025-10-08 12:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.6,0.6,1.1
2025-10-08 21:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.1,0.1,0.1
2025-10-08 08:00:00,146228,Progressive Community Church (NLCEP),19.1,135,8.5,4.2,6.35
2025-10-08 01:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.9,6.7,5.3
2025-10-08 11:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.6,4.9,4.25
2025-10-09 05:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.7,1.0,1.85
2025-10-09 18:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.0,0.1,0.55
2025-10-09 13:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.8,1.0,2.4
2025-10-09 07:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.2,0.2,0.7
2025-10-09 16:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.9,0.2,0.55
2025-10-09 11:00:00,146228,Progressive Community Church (NLCEP),19.1,135,4.1,1.2,2.65
2025-10-09 17:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.1,0.1,0.6
2025-10-09 08:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.5,0.2,0.85
2025-10-10 07:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.5,2.0,3.75
2025-10-10 04:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.8,2.5,4.65
2025-10-10 22:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.7,1.5,2.6
2025-10-10 00:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.1,2.0,4.05
2025-10-10 15:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.8,1.2,2.5
2025-10-10 06:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.2,2.5,4.35
2025-10-10 16:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.8,0.8,1.8
2025-10-12 19:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.2,0.3,1.25
2025-10-12 21:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.2,0.6,1.9
2025-10-12 11:00:00,146228,Progressive Community Church (NLCEP),19.1,135,9.6,3.4,6.5
2025-10-12 06:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.9,1.8,3.85
2025-10-12 10:00:00,146228,Progressive Community Church (NLCEP),19.1,135,9.0,2.9,5.95
2025-10-12 09:00:00,146228,Progressive Community Church (NLCEP),19.1,135,10.2,3.2,6.7
2025-10-14 14:00:00,146228,Progressive Community Church (NLCEP),19.1,135,16.8,7.9,12.35
2025-10-14 06:00:00,146228,Progressive Community Church (NLCEP),19.1,135,20.4,9.6,15.0
2025-10-14 03:00:00,146228,Progressive Community Church (NLCEP),19.1,135,14.4,5.6,10.0
2025-10-13 09:00:00,146228,Progressive Community Church (NLCEP),19.1,135,12.5,4.4,8.45
2025-10-13 16:00:00,146228,Progressive Community Church (NLCEP),19.1,135,9.0,3.0,6.0
2025-10-13 13:00:00,146228,Progressive Community Church (NLCEP),19.1,135,13.6,5.6,9.6
2025-10-13 06:00:00,146228,Progressive Community Church (NLCEP),19.1,135,12.9,4.6,8.75
2025-10-13 01:00:00,146228,Progressive Community Church (NLCEP),19.1,135,10.4,3.4,6.9
2025-10-13 05:00:00,146228,Progressive Community Church (NLCEP),19.1,135,12.4,4.3,8.35
2025-10-13 03:00:00,146228,Progressive Community Church (NLCEP),19.1,135,12.3,4.1,8.2
2025-10-13 04:00:00,146228,Progressive Community Church (NLCEP),19.1,135,12.6,4.1,8.35
2025-10-13 08:00:00,146228,Progressive Community Church (NLCEP),19.1,135,13.1,4.5,8.8
2025-10-13 14:00:00,146228,Progressive Community Church (NLCEP),19.1,135,11.8,4.7,8.25
2025-10-13 10:00:00,146228,Progressive Community Church (NLCEP),19.1,135,12.8,4.8,8.8
2025-10-11 19:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.7,0.1,0.4
2025-10-11 05:00:00,146228,Progressive Community Church (NLCEP),19.1,135,25.3,13.3,19.3
2025-10-11 23:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.1,0.2,0.65
2025-10-11 16:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.8,0.1,0.45
2025-10-11 00:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.0,2.3,4.15
2025-10-11 15:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.6,0.1,0.35
2025-10-04 21:00:00,146228,Progressive Community Church (NLCEP),19.1,135,11.7,4.8,8.25
2025-10-04 14:00:00,146228,Progressive Community Church (NLCEP),19.1,135,16.0,7.2,11.6
2025-10-04 23:00:00,146228,Progressive Community Church (NLCEP),19.1,135,11.6,5.2,8.4
